msme_id,discipline_level,pattern,volatility_level,has_employees,filing_on_time_rate,upi_trend_slope,cashflow_volatility_score,top_buyer_concentration_pct,payroll_consistency_score,credit_ready
018a4f80,average,growing,medium,True,0.667,0.041,0.175,0.346,0.583,1
f73bec11,good,growing,high,False,0.917,0.031,0.403,0.886,0.5,0
59bf597d,good,flat,low,False,0.917,0.002,0.054,0.157,0.5,1
5fe3a2f5,average,declining,low,True,0.583,0.05,0.054,0.472,0.417,0
b24a1de0,poor,flat,low,True,0.25,0.001,0.052,0.4,0.75,0
967b0eeb,average,declining,high,True,1.0,0.05,0.282,0.712,0.667,0
d44826e3,good,flat,low,False,0.917,-0.008,0.044,0.151,0.5,1
2dc058e7,poor,growing,high,True,0.083,0.037,0.287,0.518,0.667,0
c4f3252d,good,declining,high,False,1.0,-0.048,0.514,0.859,0.5,0
278967dc,good,flat,high,True,0.833,0.016,0.325,0.602,0.667,1
470c68d3,poor,flat,low,False,0.167,0.007,0.044,0.243,0.5,0
07072d3c,good,declining,medium,True,0.833,-0.04,0.205,0.328,0.75,0
45a89835,average,flat,high,False,0.5,-0.015,0.268,0.557,0.5,0
078d0517,poor,flat,low,False,0.5,-0.022,0.06,0.282,0.5,0
8cdd3d24,average,growing,high,False,0.583,0.038,0.278,0.834,0.5,1
e328287e,average,declining,low,True,0.5,-0.025,0.06,0.207,0.583,0
2b73b325,poor,declining,low,False,0.25,-0.064,0.044,0.44,0.5,0
6b712bb1,poor,flat,medium,True,0.333,0.009,0.134,0.318,0.75,0
300cf753,average,declining,low,True,0.75,-0.057,0.061,0.285,0.917,0
4bf682fa,poor,flat,low,True,0.333,0.006,0.046,0.146,0.667,0
19a20ac4,good,growing,low,False,0.917,0.037,0.06,0.374,0.5,1
30fc9dc7,poor,flat,high,False,0.167,0.011,0.397,0.665,0.5,0
5cb90123,poor,flat,low,False,0.333,0.005,0.067,0.489,0.5,0
bbda0aad,poor,growing,high,True,0.083,0.022,0.458,0.574,0.833,0
9d5cbc6b,average,declining,high,False,0.667,-0.041,0.411,0.862,0.5,0
080dc13a,poor,growing,low,True,0.25,0.044,0.058,0.491,0.833,1
